ID,RAC1P,RAC2P,RAC3P,PERNP,SCHG,SCHL
000314,2,2,2,5000,15,19
000315,1,1,1,0,,21
000316,1,1,1,0,,23
000317,1,1,1,8000,15,19
000318,1,1,1,20000,,16
000319,1,1,1,0,,16
000320,1,1,1,0,,17
000321,1,1,1,7200,,18
000322,1,1,1,72000,,19
000323,1,1,1,24000,,22
000324,1,1,1,50000,,22
000325,6,45,6,1900,15,19
000326,1,1,1,30000,,19
000327,1,1,1,0,,19
000328,1,1,1,0,,23
000329,1,1,1,75000,,19
000330,1,1,1,0,,21
000331,6,38,4,84000,,21
000332,1,1,1,0,,16
000333,9,68,21,65000,,12
000334,9,68,21,,7,7
000335,1,1,1,157000,,21
000336,1,1,1,0,,21
000337,1,1,1,19000,,16
000338,1,1,1,0,,21
000339,6,57,9,0,15,16
000340,9,68,17,80000,,16
000341,9,68,17,,5,5
000342,9,68,17,,3,3
000343,1,1,1,4800,,18
000344,1,1,1,0,,16
000345,1,1,1,18000,,1
000346,1,1,1,0,,19
000347,1,1,1,32300,,24
000348,1,1,1,40000,,19
000349,1,1,1,0,15,21
000350,9,68,19,7000,,21
000351,1,1,1,0,,19
000352,1,1,1,0,,19
000353,1,1,1,0,,19
000354,1,1,1,10000,,19
000355,1,1,1,0,,21
000356,1,1,1,0,,16
000357,1,1,1,0,,19
000358,1,1,1,0,,19
000359,1,1,1,0,,11
000360,1,1,1,102000,,21
000361,1,1,1,0,,18
000362,1,1,1,1350,15,19
000363,1,1,1,2400,15,19
000364,1,1,1,9000,15,19
000365,1,1,1,23300,,16
000366,1,1,1,,10,10
000367,1,1,1,40000,,21
000368,1,1,1,6000,,19
000369,1,1,1,60000,,21
000370,6,38,4,60000,,21
000371,1,1,1,240000,,24
000372,1,1,1,5000,,18
000373,1,1,1,54000,,21
000374,1,1,1,40000,,21
000375,1,1,1,48000,,18
000376,1,1,1,160000,,21
000377,1,1,1,,7,8
000378,9,68,62,45000,14,14
000379,1,1,1,150000,,24
000380,1,1,1,30000,,22
000381,1,1,1,75000,,21
000382,1,1,1,,2,3
000383,1,1,1,145000,,22
000384,1,1,1,90000,,21
000385,1,1,1,0,12,12
000386,1,1,1,,10,10
